2026-09-06 21:32:25,970 | Сыграна карта: musketeer-hero; слот=1; уверенность=0.25; клетка=(столбец=10, строка=25); средняя позиция=(585.8, 1240.9); время_боя=18121 мс; длительность=301 мс; детекций=18
2026-09-06 21:32:34,906 | Сыграна карта: cannon; слот=1; уверенность=1.00; клетка=(столбец=16, строка=32); средняя позиция=(973.7, 1610.4); время_боя=19878 мс; длительность=301 мс; детекций=13
2026-09-06 21:32:38,002 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=20); средняя позиция=(585.3, 981.8); время_боя=20380 мс; длительность=301 мс; детекций=19
2026-09-06 21:32:43,167 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=17); средняя позиция=(587.7, 838.3); время_боя=21284 мс; длительность=301 мс; детекций=13
2026-09-06 21:33:19,891 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=10, строка=21); средняя позиция=(587.8, 1044.9); время_боя=0 мс; длительность=319 мс; детекций=7
2026-09-06 21:33:24,822 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=32); средняя позиция=(970.1, 1609.9); время_боя=1007 мс; длительность=302 мс; детекций=15
2026-09-06 21:33:28,723 | Сыграна карта: fireball; слот=4; уверенность=0.94; клетка=(столбец=13, строка=10); средняя позиция=(779.6, 470.0); время_боя=1813 мс; длительность=302 мс; детекций=19
2026-09-06 21:33:35,113 | Сыграна карта: ice-spirit; слот=1; уверенность=0.99; клетка=(столбец=10, строка=19); средняя позиция=(586.1, 939.1); время_боя=3088 мс; длительность=302 мс; детекций=18
2026-09-06 21:33:42,398 | Сыграна карта: skeletons-ev1; слот=4; уверенность=0.99; клетка=(столбец=5, строка=20); средняя позиция=(267.1, 988.9); время_боя=4498 мс; длительность=302 мс; детекций=17
2026-09-06 21:33:47,147 | Сыграна карта: the-log; слот=2; уверенность=0.99; клетка=(столбец=5, строка=18); средняя позиция=(266.4, 881.8); время_боя=5337 мс; длительность=302 мс; детекций=15
2026-09-06 21:33:48,654 | Сыграна карта: the-log; слот=2; уверенность=0.99; клетка=(столбец=5, строка=28); средняя позиция=(267.5, 1403.1); время_боя=5606 мс; длительность=319 мс; детекций=12
2026-09-06 21:33:52,733 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=5, строка=26); средняя позиция=(266.5, 1290.1); время_боя=6395 мс; длительность=302 мс; детекций=9
2026-09-06 21:34:08,858 | Сыграна карта: hog-rider; слот=4; уверенность=1.00; клетка=(столбец=17, строка=18); средняя позиция=(1033.4, 886.4); время_боя=9197 мс; длительность=302 мс; детекций=18
